Flood,Aspect,Rainfall,CurvPlan,DEM,NDVI,FlowAccum,FlodDistH,FlodDistV,Hillshade,Slope,SPI,TWI
0,108,6682,0,164,7553,1,3177,157,162,6,3,6
0,5,6804,0,371,9024,1,2325,352,208,20,11,5
0,146,6833,0,801,7947,1,7414,781,115,18,10,5
0,269,6663,0,161,6212,0,6819,141,190,5,0,6
0,243,6678,0,26,2503,0,4528,20,181,1,0,7
0,301,6391,0,472,7456,0,3757,412,225,18,0,5
0,347,6924,0,22,5473,0,1968,19,193,5,0,6
0,112,6967,2,74,3739,0,4858,64,157,7,0,5
0,154,5197,-1,1433,1422,281,947,155,150,9,1398,11
0,281,6924,2,46,5761,1,1563,43,228,27,15,5
0,354,6871,2,1165,8753,0,3362,524,223,26,0,4
0,299,6829,1,40,5940,0,1054,37,214,13,0,5
0,20,5877,0,773,7242,673,5246,336,186,5,1852,12
0,343,6625,0,116,6372,2,1117,75,193,5,5,7
0,358,6626,2,262,6276,3,1334,224,223,36,64,5
0,225,7005,2,1055,9066,0,6309,477,168,21,0,4
0,355,6959,2,73,6961,0,999,67,214,18,0,5
0,92,6753,0,464,8361,2,1146,356,143,14,15,6
0,340,6657,0,651,8601,7,4727,532,228,22,84,6
0,184,6065,1,838,7717,1,2144,620,137,17,9,5
0,77,5312,-1,1597,9019,78,745,181,150,14,599,9
0,20,5992,0,1192,6916,3,1721,630,181,45,88,5
0,121,6060,0,665,7487,1,2901,434,89,25,14,5
0,184,6745,-2,1403,7739,1,4161,506,122,22,12,5
0,14,6959,0,41,5768,0,667,35,193,10,0,5
0,301,6290,0,222,6627,1,2528,184,237,25,14,5
0,137,5741,0,653,7556,2,1419,340,61,31,36,5
0,102,6886,0,120,5619,0,454,113,169,4,0,6
0,24,5750,0,574,7483,5,2942,275,190,15,39,7
0,177,6620,1,1056,8178,1,864,355,43,42,27,4
0,7,6807,0,31,4876,0,685,24,188,5,0,6
0,338,6375,1,140,5996,0,1294,102,197,6,0,6
0,45,6807,1,43,5945,0,657,37,175,14,0,5
0,355,6682,2,326,7131,1,2106,288,225,31,18,5
0,320,7107,4,360,6884,0,2565,339,242,27,0,4
0,310,7003,0,486,7497,1,5818,446,227,18,10,5
0,50,6925,1,981,7478,0,3265,401,151,28,0,4
0,48,6769,1,693,8748,3,1914,399,164,21,35,6
0,253,7075,0,807,7634,12,4130,350,197,34,239,6
0,244,5842,-1,563,8258,5,4021,407,181,34,101,6
0,193,5290,2,2187,8408,0,2716,707,119,26,0,4
0,75,6769,-3,1129,4291,63,3996,487,121,27,949,8
0,13,6440,0,8,4139,0,1546,7,181,1,0,8
0,357,6228,1,542,8330,1,4581,504,218,23,13,5
0,253,6108,0,734,7164,5,3814,359,199,25,70,6
0,263,6599,1,355,7665,0,1032,136,208,22,0,4
0,233,6411,0,304,7076,4,5425,265,177,20,44,6
0,198,6015,2,825,7497,0,5587,709,152,15,0,5
0,159,6682,0,43,5986,0,2273,37,154,8,0,5
0,309,6206,-1,1118,8159,2,8019,639,236,23,26,5
0,172,6682,1,398,7357,0,3262,360,154,9,0,5
0,346,6924,0,45,4294,0,672,38,199,8,0,5
0,112,5748,-3,818,7593,19581,187,20,144,11,117853,15
0,61,7046,0,753,6888,4,4215,295,123,33,79,5
0,113,6657,0,760,7851,0,8599,603,176,1,0,7
0,46,7003,0,203,7795,3,2720,163,175,12,19,6
0,230,6825,2,825,8152,2,5786,508,153,37,46,5
0,253,6985,2,1011,8396,1,1157,412,197,29,17,5
0,104,6785,0,458,7812,2,3891,413,64,34,40,5
0,14,6682,1,30,4955,0,2406,24,183,2,0,7
0,118,6789,1,564,7927,0,4055,556,109,20,0,4
0,121,6682,1,47,5976,1,2770,40,128,15,8,5
0,108,6869,0,93,8256,4,1798,73,115,20,43,6
0,29,5839,1,1026,6860,2,4109,589,182,29,34,5
0,74,6700,0,1450,801,0,4485,1286,174,3,0,6
0,140,7118,-1,1102,8393,1,5656,903,144,10,6,6
0,288,7048,2,532,7019,0,1048,517,235,28,0,4
0,281,7046,3,634,7115,0,210,106,224,23,0,4
0,319,6063,2,175,6694,0,1134,136,229,19,0,4
0,275,6785,0,180,5870,0,2785,160,181,1,0,8
0,274,6807,1,57,6013,0,1022,50,186,2,0,7
0,161,5692,-2,1157,7728,3,1723,485,77,29,51,5
0,333,6886,0,26,4283,0,1911,24,188,3,0,6
0,146,6675,2,741,8004,0,6327,701,107,20,0,4
0,307,5525,0,794,8300,1,737,311,245,30,17,5
0,70,6863,0,620,6478,0,4322,600,154,15,0,5
0,180,5689,0,1463,7388,7,2807,447,101,27,109,6
0,78,7045,0,482,6371,30,5799,442,151,14,224,8
0,14,5549,-1,1247,7132,70,1017,335,202,31,1242,8
0,353,6809,0,168,4036,2,1646,153,203,10,11,6
0,101,6469,0,502,7923,16,4059,424,146,12,100,8
0,69,6440,0,10,4580,0,1779,8,179,1,0,8
0,282,6924,1,55,4127,0,1968,52,215,16,0,5
0,44,6807,0,20,3818,0,3480,15,180,4,0,6
0,153,6588,0,235,7490,31,2061,160,132,14,235,8
0,193,5640,0,2331,7069,2,4537,1266,142,18,20,6
0,239,6778,0,525,8008,3,1713,448,184,19,31,6
0,185,6228,2,324,6685,2,6459,285,100,29,33,5
0,319,6917,0,649,9103,2,6302,514,237,24,26,5
0,98,6682,0,73,5976,1,2900,67,164,6,3,6
0,40,6597,1,1274,8024,5,4068,581,171,24,67,6
0,115,6008,-3,341,2721,166,7316,244,150,9,810,10
0,93,7032,-2,122,7664,11,4116,107,149,12,68,7
0,22,6206,2,424,8458,0,1631,310,190,12,0,5
0,297,6907,0,301,8722,2,4368,281,231,22,24,5
0,349,6106,0,1185,6658,3,3740,1010,222,22,36,6
0,312,6924,2,65,5761,0,1044,62,221,15,0,5
0,319,6784,3,540,7610,1,6038,534,242,27,15,5
0,260,6909,0,639,6957,4,5147,522,204,20,45,6
0,143,6915,1,838,7895,0,4101,828,123,16,0,5
0,199,5872,-3,1152,5988,2,1792,462,96,37,45,5
0,249,6653,0,561,7544,1,3604,301,193,30,17,5
0,178,6678,0,56,5449,0,3887,49,177,1,0,7
0,102,6013,-1,730,7433,2,1904,417,113,21,23,5
0,115,6737,1,904,8314,0,4669,795,123,17,0,5
0,215,7083,1,769,8092,1,5727,310,157,21,12,5
0,321,5496,1,1245,6161,1,415,95,234,22,12,5
0,138,6711,0,1077,8238,3,2887,539,24,39,74,5
0,187,7008,2,713,8716,2,3176,585,71,39,48,5
0,94,7003,0,206,7088,0,3757,166,145,13,0,5
0,352,6785,2,485,7324,0,5344,440,209,14,0,5
0,14,6411,0,325,6537,2,3609,287,202,28,32,5
0,318,6943,1,85,7018,0,1569,76,216,13,0,5
0,5,6886,1,41,4690,0,1466,36,197,9,0,5
0,81,5494,0,1761,7554,0,4179,503,173,3,0,6
0,348,6376,-1,256,7377,7,2660,101,212,15,55,7
0,135,5635,0,951,7705,5,1971,468,99,22,61,6
0,320,7038,-1,939,436,978,4114,395,209,10,5261,12
0,314,7003,0,459,5174,0,3785,440,228,18,0,4
0,315,5736,0,1560,7108,1,5147,506,238,25,14,5
0,68,6290,1,181,7063,0,1616,143,170,7,0,6
0,301,6884,0,18,3645,0,1002,12,194,5,0,6
0,258,6924,0,68,5732,0,454,39,194,10,0,5
0,22,5171,0,1590,654,1,3643,579,193,24,13,5
0,292,6376,0,323,7536,0,1131,168,193,5,0,6
0,201,6678,0,22,2899,0,3784,15,176,3,0,6
0,151,6737,-1,715,8001,189,6592,558,112,19,1989,10
0,21,6440,1,9,4443,0,2297,8,182,2,0,7
0,197,6342,0,9,3568,0,1061,8,178,1,0,7
0,255,6786,0,730,9362,1,1536,474,201,29,17,5
0,310,5556,-3,2131,7416,1,5374,1066,253,50,36,4
0,359,7417,-3,621,7460,3,495,1,210,17,28,6
0,245,6564,1,116,5931,0,1942,63,187,8,0,5
0,180,6955,-2,607,3771,6,2206,589,94,30,102,6
0,32,6206,1,603,8154,0,2490,465,183,21,0,4
0,182,6564,0,273,6170,1,4507,219,95,30,17,5
0,148,7212,-1,1094,6316,13,6706,496,140,12,81,8
0,230,7058,0,440,6580,0,2016,421,180,2,0,7
