Flood,FloodNew,Aspect,Rainfall,CurvPlan,DEM,NDVI,FlowAccum,FlodDistH,FlodDistV,Hillshade,Slope,SPI,TWI
1,2,106,24,64295584,28,916,0,0,5,0,64,0,-3
1,2,87,24,237666880,27,978,0,0,5,0,65,0,-2
1,3,0,24,-11140396,5,0,0,0,0,0,45,0,0
1,3,71,23,-806400896,92,876,0,0,0,0,60,0,0
1,2,254,24,751015168,27,944,0,0,5,88,66,0,-3
1,3,31,24,-306635328,7,0,0,0,0,43,16,0,1
1,3,119,23,124061608,98,851,0,0,8,0,40,0,-2
1,3,49,23,28847908,92,841,0,0,2,0,35,0,-2
1,3,102,23,3093896,92,839,0,0,2,0,20,0,-2
1,3,38,24,-190120416,24,1019,0,0,1,20,43,1,2
1,3,88,24,194821776,73,894,0,0,3,0,55,0,-3
1,1,169,24,-554179264,71,894,0,0,1,0,42,1,2
1,3,96,24,-321112640,13,1517,0,0,0,0,48,0,-1
1,4,293,23,-215304208,94,866,0,0,10,167,52,0,-3
1,3,34,24,-225263440,17,904,0,0,8,33,51,0,-1
1,4,314,23,-473011232,94,866,0,0,1,180,61,0,-2
1,3,72,24,211213968,19,904,0,0,9,0,45,0,-3
1,1,79,24,-192078304,72,902,56,0,0,0,65,80,5
1,2,76,24,-298467360,11,948,0,0,5,0,65,0,-1
1,4,347,24,174411552,8,913,0,0,2,153,38,0,-2
